eps,max_query_length,subset_id,subset_max_length,mean_error,std_error,num_evals
0.1,20,0,4.0,0.40179291753897292293,0.15195040522461512015,100
0.1,20,1,8.0,0.20417122750086092509,0.080573486276649291647,100
0.1,20,2,12.0,0.13178941305282576998,0.05356568956835437682,100
0.1,20,3,16.0,0.10375539154475700035,0.043213214760772754936,100
0.1,20,4,20.0,1.7337851214115872884e+192,1.72509441444690515e+193,100
0.2,20,0,4.0,0.40810870925691436928,0.09205483142634384803,100
0.2,20,1,8.0,0.20298746184614699789,0.049052635156579747815,100
0.2,20,2,12.0,0.13868694810753617291,0.03591031510818196995,100
0.2,20,3,16.0,0.10064383971213527194,0.026953418520214111272,100
0.2,20,4,20.0,0.081345018002565862156,0.02460825463107884563,100
0.5,20,0,4.0,0.41041287817650411008,0.035441322900709307324,100
0.5,20,1,8.0,0.20303145847893152853,0.023951295016709927754,100
0.5,20,2,12.0,0.13720698080412514916,0.02116586860986821878,100
0.5,20,3,16.0,0.0998082335742911507,0.017274340753235991928,100
0.5,20,4,20.0,0.0818871273360742126,0.016946676083703462777,100
0.8,20,0,4.0,0.40703673746362256712,0.040102717093690785644,100
0.8,20,1,8.0,0.20199264428913721397,0.028571118377171937521,100
0.8,20,2,12.0,0.13550471075375503937,0.022581371429491410122,100
0.8,20,3,16.0,0.10185930423641095077,0.0161096544728702481,100
0.8,20,4,20.0,0.07873987276924804997,0.0154859712191113891634,100
1.0,20,0,4.0,0.40706639684893291653,0.034990687116990307148,100
1.0,20,1,8.0,0.20230405304901669717,0.025358635429543806504,100
1.0,20,2,12.0,0.13699877547610036149,0.019138901141051600656,100
1.0,20,3,16.0,0.10198510513373443179,0.01981757307234212336,100
1.0,20,4,20.0,0.0804772982658634814,0.016423452617684402489,100
