eps,max_query_length,subset_id,subset_max_length,mean_error,std_error,num_evals
0.1,20,0,4.0,1.6459376951311867154,0.31841571363324930368,100
0.1,20,1,8.0,0.8122140818234214754,0.16281853014862232152,100
0.1,20,2,12.0,0.5445137615849681989,0.11797281119350520093,100
0.1,20,3,16.0,0.40849930643092952076,0.093555417396174195225,100
0.1,20,4,20.0,0.31854507023322716137,0.07328433736423782283,100
0.2,20,0,4.0,0.70633915509102346953,0.20162224734773133069,100
0.2,20,1,8.0,0.35175782042380195625,0.10227991745355942219,100
0.2,20,2,12.0,0.23082755569253788602,0.070942523950143215335,100
0.2,20,3,16.0,0.17590288167085998405,0.055458880414985335396,100
0.2,20,4,20.0,0.13733074517354970229,0.044444818802209183115,100
0.5,20,0,4.0,0.27446895058626052054,0.053016955324086174267,100
0.5,20,1,8.0,0.1348591846393964247,0.027288942730060007145,100
0.5,20,2,12.0,0.09177823755231609565,0.01982208610179268075,100
0.5,20,3,16.0,0.068650338594276943335,0.0154855036124430005095,100
0.5,20,4,20.0,0.053744201209997026977,0.012502175989960193718,100
0.8,20,0,4.0,0.1783147806647831654,0.028342703182990840207,100
0.8,20,1,8.0,0.08941191972247813549,0.015305279461856828509,100
0.8,20,2,12.0,0.060173606291157630683,0.011378627411764899192,100
0.8,20,3,16.0,0.044555134355808785063,0.008405685081334322134,100
0.8,20,4,20.0,0.036737756200643623196,0.007702463942596206051,100
1.0,20,0,4.0,0.14543357101987583969,0.03423096311330629406,100
1.0,20,1,8.0,0.073205891823563238804,0.01791713644566360719,100
1.0,20,2,12.0,0.049465832550280678173,0.0125384988766193510775,100
1.0,20,3,16.0,0.03621720672078557454,0.0096680183357756888146,100
1.0,20,4,20.0,0.029123930568616181875,0.00809196187906856985,100
