eps,max_query_length,subset_id,subset_max_length,mean_error,std_error,num_evals
0.1,20,0,4.0,1.0914591457405588315,0.114010448807377479435,100
0.1,20,1,8.0,0.5478231508389075205,0.06007616147688320589,100
0.1,20,2,12.0,0.3679125478534466126,0.04151217344564666888,100
0.1,20,3,16.0,0.27417907962368919943,0.031866053216993515508,100
0.1,20,4,20.0,0.21840466566642413399,0.0263758776963242487,100
0.2,20,0,4.0,1.0670661695592363683,0.030066001976343049277,100
0.2,20,1,8.0,0.5326060097740390331,0.023976358409015021013,100
0.2,20,2,12.0,0.3546760087934495853,0.018463352537589624177,100
0.2,20,3,16.0,0.26707594903991479506,0.017170958423993629638,100
0.2,20,4,20.0,0.2113810319701031623,0.016582103014702172176,100
0.5,20,0,4.0,1.035338264153061234,0.027745606822417512514,100
0.5,20,1,8.0,0.5160038351252930261,0.024752372159688071376,100
0.5,20,2,12.0,0.34362752913719622595,0.021963953878304689786,100
0.5,20,3,16.0,0.2586901793988875184,0.017267706009969813282,100
0.5,20,4,20.0,0.20986716749321307485,0.014920263114608866248,100
0.8,20,0,4.0,1.0314876324290641629,0.032162628252019303878,100
0.8,20,1,8.0,0.5183796061779319608,0.023769196414960647397,100
0.8,20,2,12.0,0.34261679837334569064,0.020546019100439469043,100
0.8,20,3,16.0,0.26032855194563716883,0.018571281401177884456,100
0.8,20,4,20.0,0.2056843984422195698,0.014716687629161862946,100
1.0,20,0,4.0,1.0251416609305822247,0.026293846623321410403,100
1.0,20,1,8.0,0.51459829890852191005,0.024711994318655621674,100
1.0,20,2,12.0,0.3426262546647424284,0.018886642236212248788,100
1.0,20,3,16.0,0.25872341632871900642,0.018988585837603414043,100
1.0,20,4,20.0,0.20428345896986904117,0.015702812228662998353,100
