eps,max_query_length,subset_id,subset_max_length,mean_error,std_error,num_evals
0.1,20,0,4.0,0.0,0.0,100
0.1,20,1,8.0,0.0,0.0,100
0.1,20,2,12.0,0.0,0.0,100
0.1,20,3,16.0,0.0,0.0,100
0.1,20,4,20.0,0.0,0.0,100
0.2,20,0,4.0,0.0,0.0,100
0.2,20,1,8.0,0.0,0.0,100
0.2,20,2,12.0,0.0,0.0,100
0.2,20,3,16.0,0.0,0.0,100
0.2,20,4,20.0,0.0,0.0,100
0.5,20,0,4.0,0.0,0.0,100
0.5,20,1,8.0,0.0,0.0,100
0.5,20,2,12.0,0.0,0.0,100
0.5,20,3,16.0,0.0,0.0,100
0.5,20,4,20.0,0.0,0.0,100
0.8,20,0,4.0,0.0,0.0,100
0.8,20,1,8.0,0.0,0.0,100
0.8,20,2,12.0,0.0,0.0,100
0.8,20,3,16.0,0.0,0.0,100
0.8,20,4,20.0,0.0,0.0,100
1.0,20,0,4.0,0.0,0.0,100
1.0,20,1,8.0,0.0,0.0,100
1.0,20,2,12.0,0.0,0.0,100
1.0,20,3,16.0,0.0,0.0,100
1.0,20,4,20.0,0.0,0.0,100
