eps,max_query_length,subset_id,subset_max_length,mean_error,std_error,num_evals
0.1,20,0,4.0,1.7406518546529157265,0.38077198843749774065,100
0.1,20,1,8.0,0.87465060825281503945,0.20532454916579948208,100
0.1,20,2,12.0,0.57730607387816306966,0.1403254517341825082,100
0.1,20,3,16.0,0.44967108031051805317,0.11488181890509669507,100
0.1,20,4,20.0,0.34553716750046882671,0.09125885901696338731,100
0.2,20,0,4.0,0.84237420878399210336,0.1415869966063863398,100
0.2,20,1,8.0,0.42597605798568250913,0.081105590044009144354,100
0.2,20,2,12.0,0.28312428913685762865,0.05169312349687036751,100
0.2,20,3,16.0,0.20966469994009043737,0.046230985679292947407,100
0.2,20,4,20.0,0.16087622135311669999,0.036226418321256496618,100
0.5,20,0,4.0,0.32379508719201422428,0.080009512662678930256,100
0.5,20,1,8.0,0.16212166994746852661,0.04142140168918017284,100
0.5,20,2,12.0,0.10830664306161388519,0.028878408557447061347,100
0.5,20,3,16.0,0.08104107140795238029,0.022264485152607110161,100
0.5,20,4,20.0,0.064366950824330169126,0.018622956850269384193,100
0.8,20,0,4.0,0.2087964132718570881,0.051160763211006789705,100
0.8,20,1,8.0,0.10335586381370970577,0.025850957591377692315,100
0.8,20,2,12.0,0.06862243865516895053,0.017985292432512494639,100
0.8,20,3,16.0,0.052574321132219439188,0.014539639943156215527,100
0.8,20,4,20.0,0.041947045516264361634,0.0117498898583167193146,100
1.0,20,0,4.0,0.17128011684579134172,0.04115336676310012642,100
1.0,20,1,8.0,0.08453262522243100374,0.02063651129884263298,100
1.0,20,2,12.0,0.056634282405639645026,0.014157503240467096238,100
1.0,20,3,16.0,0.043786124277934836344,0.011458498125826540062,100
1.0,20,4,20.0,0.034332189335336177964,0.008966698307183384192,100
