eps,max_query_length,subset_id,subset_max_length,mean_error,std_error,num_evals
0.1,20,0,4.0,1.38833070163305075,0.39469853768714038307,100
0.1,20,1,8.0,0.70302248033739812627,0.20464802330296202418,100
0.1,20,2,12.0,0.44858699386966493673,0.13152687186125819652,100
0.1,20,3,16.0,0.34888309310559973198,0.109463847975611283145,100
0.1,20,4,20.0,0.27561684944185457362,0.09304662010418754652,100
0.2,20,0,4.0,0.6681556457988362335,0.14720085652082122367,100
0.2,20,1,8.0,0.33601401324778165102,0.0750288592334588236,100
0.2,20,2,12.0,0.21898425501258890369,0.052388488850000435183,100
0.2,20,3,16.0,0.16994366748024020711,0.044379368631853268703,100
0.2,20,4,20.0,0.13216890901038809634,0.035135219385944427642,100
0.5,20,0,4.0,0.25362907936703506823,0.07730040000014470761,100
0.5,20,1,8.0,0.12752617083631343247,0.040082488496281848136,100
0.5,20,2,12.0,0.08416444486871080488,0.0270345788761475364,100
0.5,20,3,16.0,0.06325754317981158552,0.020433117512471286175,100
0.5,20,4,20.0,0.050563669581848933106,0.017064455787336693614,100
0.8,20,0,4.0,0.15658908950306462487,0.06702764555113575164,100
0.8,20,1,8.0,0.07773848596555092569,0.033601768798239318935,100
0.8,20,2,12.0,0.053101796373390356616,0.023158848099029700202,100
0.8,20,3,16.0,0.039221689934461086076,0.017535413487449296111,100
0.8,20,4,20.0,0.030320656025711729167,0.013715685801675702465,100
1.0,20,0,4.0,0.12561666666143587873,0.06130109397945667118,100
1.0,20,1,8.0,0.06333867509325363049,0.031224310360822795345,100
1.0,20,2,12.0,0.041451349103924311005,0.02062545436034589398,100
1.0,20,3,16.0,0.031127330929145804669,0.015658277626343491805,100
1.0,20,4,20.0,0.025067082025748514961,0.012782322788285460488,100
